event_id,sample,process,process_role,m_gammagamma,n_electrons,n_muons,n_leptons,n_jets,n_jets_central,n_jets_forward,n_bjets,n_bjets_central,ht_jets,lead_jet_pt,sublead_jet_pt,met,pt_gg,delta_r_gg,photon_ti,partition,bdt_score,category,significance_model_weight_36fb
ttH|346525|284500|1747937,ttH,ttH,signal_top,129.0587820063247,0,0,0,3,3,0,1,1,130.22273063659668,75.24665069580078,28.032365798950195,16.369482040405273,12.921670898019066,3.148826937963354,False,train,0.05417878492753805,unassigned,0.0
ttH|346525|284500|1747970,ttH,ttH,signal_top,125.3967346035589,0,0,0,5,5,0,1,1,349.2532215118408,154.09539794921875,85.55459594726562,15.271102905273438,55.45518520403087,2.888791415610183,True,train,0.6484227482017236,ttH_had_BDT3,0.0003707843251844849
ttH|346525|284500|1747491,ttH,ttH,signal_top,124.82787254741366,0,0,0,4,4,0,2,2,250.61067962646484,106.2051773071289,62.22777557373047,22.3196964263916,205.00061389303525,1.1219776714017413,True,test,0.7838596746686124,ttH_had_BDT2,0.0003242947291780693
ttH|346525|284500|1747211,ttH,ttH,signal_top,125.82139225078299,0,0,0,5,5,0,1,1,301.7955722808838,139.3986358642578,72.0768814086914,144.9559326171875,83.05776293647203,2.3930455796473673,True,train,0.897119727574441,ttH_had_BDT1,0.00026958336203810045
ttH|346525|284500|632958,ttH,ttH,signal_top,126.33627983462665,0,0,0,3,3,0,1,1,198.30642318725586,91.34202575683594,55.21282958984375,74.44253540039062,62.999357589551394,2.796788510712641,False,train,0.37499950356066697,ttH_had_BDT3,0.0
ttH|346525|284500|1732243,ttH,ttH,signal_top,126.74436141298537,0,0,0,5,5,0,1,1,291.4328269958496,91.7969741821289,62.104637145996094,39.152015686035156,109.3976259442546,2.0317935389308626,True,val,0.7699185954043889,ttH_had_BDT2,0.0003794192497142368
ttH|346525|284500|1732935,ttH,ttH,signal_top,127.0270900002968,0,0,0,5,5,0,2,2,513.4611015319824,140.02890014648438,134.64268493652344,9.992517471313477,207.81803236565966,1.2733198378964163,False,train,0.8508834735410493,ttH_had_BDT2,0.0
ttH|346525|284500|1732209,ttH,ttH,signal_top,126.64459979285404,0,0,0,4,4,0,1,1,254.34652137756348,103.26844787597656,72.76790618896484,34.48713684082031,178.89750322462208,1.3564041139337686,True,test,0.7431978817718422,ttH_had_BDT2,0.00039253550457828807
ttH|346525|284500|1732100,ttH,ttH,signal_top,125.3008756106977,0,0,0,3,3,0,1,1,349.15014266967773,277.68267822265625,36.102054595947266,57.150840759277344,118.3307088425393,1.8255944238116777,False,test,0.35478391673967813,unassigned,0.0
ttH|346525|284500|1732990,ttH,ttH,signal_top,124.36271408884481,0,0,0,5,5,0,1,1,362.85952949523926,112.69918060302734,95.29541778564453,42.87375259399414,150.87713922121253,1.3908828569579108,True,train,0.8227910600550981,ttH_had_BDT2,0.00042752712588870227
ttH|346525|284500|1732737,ttH,ttH,signal_top,125.25078696493831,0,0,0,6,6,0,1,1,342.1925525665283,137.20814514160156,62.65381622314453,58.59937286376953,90.72402183132802,2.2245386648036836,False,train,0.836158437451143,ttH_had_BDT2,0.0
ttH|346525|284500|1732805,ttH,ttH,signal_top,121.88467879422156,0,0,0,3,3,0,1,1,146.36098098754883,60.361263275146484,43.25341033935547,30.326513290405273,243.04850102210753,0.9599070539653416,False,test,0.7484319409612356,ttH_had_BDT2,0.0
ttH|346525|284500|1732093,ttH,ttH,signal_top,124.82892940952921,0,0,0,4,4,0,1,1,335.110897064209,130.60447692871094,119.81598663330078,12.827249526977539,201.09486384334957,1.1370402752309494,True,val,0.6458518519706514,ttH_had_BDT3,0.0003459152634049488
ttH|346525|284500|1732241,ttH,ttH,signal_top,125.88240284692722,0,0,0,3,3,0,2,2,250.5154266357422,114.88162994384766,80.60305786132812,40.026336669921875,38.242312018541426,2.8734176331141486,True,train,0.5269428205848427,ttH_had_BDT3,0.0003415701209338875
